Company	Employees	Revenue 20
Dynabox	8839	849745.58
Quaxo	4243	459108.98
Kazu	9351	763923.39
Demimbu	8950	995324.31
Thoughtworks	9223	521846.28
Livefish	8259	128514.18
Midel	6738	433383.56
Realcube	3388	714959.52
Izio	4250	219829.72
Kwilith	8338	902796.84
Innotype	1401	608070.53
Twinte	220	347772.57
Agivu	2682	680866.82
Yombu	5938	433916.52
Shuffledrive	1643	832937.53
Mudo	4060	669185.97
Skynoodle	5503	233567.0
Flipstorm	5735	280241.89
Voonix	6622	581836.82
Gabtune	9152	421113.53
Layo	3456	538787.93
Skilith	4645	257143.32
Innotype	3033	620474.82
Vipe	7877	572121.99
Npath	3433	754953.35
Skimia	4672	23787.92
DabZ	316	788585.54
Linkbuzz	1258	539017.12
Quatz	7218	29450.74
Buzzster	9051	538902.41
Yozio	8972	406469.87
Skidoo	3052	249460.31
Meezzy	6386	30242.67
Leenti	537	454418.25
BlogXS	5885	663668.03
Oyonder	4783	286498.6
Wikizz	5913	884033.26
InnoZ	3600	579285.04
Rhycero	2010	166985.74
Fanoodle	1052	312473.25
Skimia	2341	876114.7
Feedspan	5158	864436.47
Oyope	6749	632041.26
Livepath	2113	743357.93
Twitternation	470	851721.29
Realmix	8038	574951.63
Twiyo	1658	764031.09
Agivu	5945	830173.0
Skalith	7500	695093.96
Yata	6486	99775.72
Youtags	7952	779726.46
Brightbean	4369	184143.58
Youfeed	1771	385204.76
Roombo	5	355646.43
Viva	9047	35323.73
Wikivu	9840	808512.21
Shufflester	5856	104824.88
Dazzlesphere	9469	995532.85
Yombu	7874	766797.79
Vimbo	2803	119502.94
